LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
1854-9    ;Androstenedione [Mass/volume] in Serum or Plasma                                                                         ;=       ;909       ;Androstendion.Serum .CLIA                                      ;ng/mL          ;x*1.0                  ;µg/l      ;286,415                 ;         ;
14603-5   ;Androstenedione [Moles/volume] in Serum or Plasma                                                                        ;=       ;909       ;Androstendion.Serum .CLIA                                      ;nmol/L         ;x*3.4914372501440214   ;µg/l      ;286,415                 ;         ;
2193-1    ;Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma                                                           ;=       ;910       ;Dehydroepiandrosteron *.Serum .RIA                             ;ng/mL          ;x*1.0                  ;µg/l      ;288,431                 ;         ;
15054-0   ;Dehydroepiandrosterone (DHEA) [Moles/volume] in Serum or Plasma                                                          ;=       ;910       ;Dehydroepiandrosteron *.Serum .RIA                             ;umol/L         ;x*0.003467033709968762 ;µg/l      ;288,431                 ;         ;
75940-7   ;Potassium [Mass/volume] in Blood                                                                                         ;=       ;911       ;Kalium im Vollblut.BGA .ISE direkt                             ;mg/dL          ;x*3.9098300000000004   ;mmol/l    ;39,0983                 ;         ;
6298-4    ;Potassium [Moles/volume] in Blood                                                                                        ;=       ;911       ;Kalium im Vollblut.BGA .ISE direkt                             ;mmol/L         ;x*1.0                  ;mmol/l    ;39,0983                 ;         ;
34265-9   ;Chloride/Creatinine [Molar ratio] in Urine                                                                               ;=       ;10530     ;Chloridkonz. bez.auf Kreatinin.SpUrin(z) .berechnet            ;mmol/mol{creat};x*1000.0               ;mol/molK  ;                        ;         ;
2339-0    ;Glucose [Mass/volume] in Blood                                                                                           ;=       ;912       ;Glucose im Vollblut.BGA .Glucose-Oxidase                       ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
15074-8   ;Glucose [Moles/volume] in Blood                                                                                          ;=       ;912       ;Glucose im Vollblut.BGA .Glucose-Oxidase                       ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
47596-2   ;Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE)                                        ;=       ;913       ;Ionisiertes Calcium.BGA .ISE direkt                            ;mmol/L         ;x*1.0                  ;mmol/l    ;40,078                  ;         ;
47598-8   ;Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Blood                                                               ;=       ;914       ;Ionisiertes Calcium (pH 7.4).BGA .berechnet                    ;mmol/L         ;x*1.0                  ;mmol/l    ;                        ;         ;
59408-5   ;Oxygen saturation in Arterial blood by Pulse oximetry                                                                    ;=       ;917       ;Sauerstoff-Sättigung.BGA .photometrisch                        ;%              ;x*1.0                  ;%         ;                        ;         ;
2692-2    ;Osmolality of Serum or Plasma                                                                                            ;=       ;6         ;Osmolalität.Li-Heparin .Gefrierpkterniedriegung                ;mosm/kg        ;x*1.0                  ;mosm/kg   ;                        ;         ;
70664-8   ;Parathyrin.intact intraoperative percent change in Serum or Plasma                                                       ;~       ;921       ;Parathormon intraoperativ DPC.EDTA (z) .CLIA                   ;%              ;Unknown conversion     ;pg/ml     ;                        ;         ;
3243-3    ;Thrombin time                                                                                                            ;=       ;924       ;Thrombinzeit.Citrat .Turbidimetrie                             ;s              ;x*1.0                  ;sec.      ;                        ;         ;
40574-6   ;Platelets [#/volume] in Body fluid by Automated count                                                                    ;=       ;925       ;Thrombozyten.Sondermaterial .Widerstandsmessung                ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
